AXP,DuPont,3M,Walmart,Alcoa,Exxon,McDonald,WaltDisney,Boeing,Ford,Merck,CAT,GE,PG,Chevron,IBM,Pfizer,CocaCola,J&J,UTX
1.9575,1.85,2.201,1.9189,1.2274,1.9781,1.9832,1.9581,2.1101,1.1638,1.7714,2.0058,1.4236,1.945,2.0706,2.2153,1.482,1.6307,2.0341,2.0312
1.9594,1.8485,2.1996,1.9188,1.2162,1.9762,1.9799,1.9566,2.109,1.1575,1.7748,2.0048,1.4213,1.9474,2.0735,2.2116,1.4832,1.6313,2.0377,2.034
1.9617,1.8481,2.1978,1.8987,1.2127,1.9795,1.9792,1.9538,2.0999,1.1461,1.7731,2.0128,1.4228,1.9517,2.0716,2.2093,1.4832,1.6305,2.0364,2.034
1.9626,1.8472,2.1962,1.8977,1.213,1.9841,1.9784,1.9541,2.0982,1.1514,1.7736,2.0109,1.4218,1.9526,2.0748,2.213,1.4817,1.6285,2.0371,2.0321
1.9657,1.8467,2.1977,1.9,1.214,1.9835,1.9782,1.9532,2.0957,1.152,1.7695,2.0095,1.4209,1.9516,2.0738,2.2135,1.48,1.6273,2.0367,2.0351
1.965,1.8447,2.1947,1.8964,1.2111,1.9849,1.9782,1.9542,2.095,1.1443,1.7733,2.0076,1.412,1.95,2.0684,2.2097,1.476,1.6265,2.0342,2.0354
1.9618,1.8429,2.1933,1.891,1.2183,1.9803,1.9762,1.9638,2.0954,1.1446,1.7728,2.0039,1.4099,1.9489,2.0621,2.2081,1.4777,1.6262,2.0375,2.0334
1.9658,1.841,2.1923,1.8904,1.2279,1.9749,1.9761,1.959,2.0942,1.1458,1.775,1.9974,1.4099,1.9494,2.0674,2.2061,1.4777,1.6264,2.0367,2.0308
1.9609,1.8329,2.1905,1.888,1.2235,1.9724,1.9753,1.9559,2.0973,1.1489,1.7736,1.9939,1.4118,1.9476,2.079,2.2083,1.4774,1.6214,2.0359,2.0265
1.9583,1.8352,2.1855,1.8824,1.2092,1.9758,1.9713,1.9624,2.098,1.1446,1.7703,2.001,1.4094,1.9414,2.0689,2.2128,1.4761,1.6213,2.0312,2.0242
1.954,1.8369,2.1869,1.8824,1.2106,1.9824,1.9719,1.9609,2.0941,1.1433,1.763,2.0061,1.4093,1.9409,2.0687,2.2129,1.4726,1.622,2.0325,2.027
1.9481,1.8274,2.1821,1.8834,1.2193,1.9721,1.9703,1.9553,2.0903,1.1471,1.7582,2.0007,1.413,1.9392,2.0687,2.2128,1.471,1.617,2.0295,2.0243
1.9462,1.8219,2.179,1.883,1.2135,1.9727,1.9672,1.952,2.0877,1.1367,1.7497,2.0008,1.4069,1.9372,2.0608,2.2105,1.466,1.6124,2.0235,2.0223
1.9445,1.8293,2.1791,1.8828,1.218,1.9751,1.9666,1.9539,2.0895,1.1355,1.747,2.005,1.4089,1.9369,2.0641,2.2108,1.46,1.6081,2.0203,2.024
1.9377,1.8289,2.1748,1.8842,1.2098,1.9687,1.9638,1.9467,2.0843,1.1544,1.7517,1.9936,1.4055,1.9342,2.0652,2.2062,1.4591,1.6102,2.0173,2.0154
1.9365,1.8359,2.172,1.883,1.2066,1.9722,1.9622,1.9475,2.0847,1.1464,1.7605,1.9976,1.4012,1.9302,2.0569,2.2068,1.4603,1.6131,2.0134,2.0139
1.9325,1.8333,2.1615,1.8822,1.2127,1.9705,1.9591,1.9444,2.0839,1.1501,1.753,1.9968,1.4057,1.9203,2.061,2.207,1.4526,1.6113,2.0113,2.0112
